timestamp,Temperature,Relative Humidity,Wind Speed,Wind Direction
20210205T0900,5.282336,92.0,6.4096174,128.15723
20210205T1000,6.0823364,90.0,5.1165614,129.2894
20210205T1100,7.0023365,88.0,3.319036,167.47119
20210205T1200,8.632337,86.0,3.2599385,173.6598
20210205T1300,9.0023365,87.0,3.563818,225.0
20210205T1400,9.152336,87.0,4.072935,135.0
20210205T1500,9.222337,88.0,2.7416782,156.8014
20210205T1600,9.032336,88.0,4.1046314,127.874985
20210205T1700,8.292336,91.0,7.6367526,135.0
20210205T1800,8.042336,92.0,5.904439,142.4314
20210205T1900,7.8323364,93.0,3.219938,153.43495
20210205T2000,7.5823364,94.0,2.6208394,105.9454
20210205T2100,7.2623363,94.0,4.5536795,71.56504
20210205T2200,6.8023367,96.0,6.638072,49.398697
20210205T2300,6.3423367,96.0,8.4963045,53.61563
20210206T0000,5.9323363,95.0,8.435069,50.194427
20210206T0100,5.4923363,95.0,8.209263,37.87497
20210206T0200,5.3623366,94.0,12.031756,38.927536
20210206T0300,5.2923365,92.0,11.525623,38.659805
20210206T0400,5.3523364,92.0,10.97262,48.990906
20210206T0500,5.1923366,94.0,10.685391,57.380745
20210206T0600,5.1223364,94.0,13.896187,53.426956
20210206T0700,5.1723366,94.0,14.693999,59.036255
20210206T0800,5.2223363,93.0,15.990646,58.815025
20210206T0900,5.2723365,93.0,17.22742,63.970406
20210206T1000,5.2123365,93.0,17.76081,72.29957
20210206T1100,5.4623365,93.0,19.05281,67.796524
20210206T1200,5.9823365,91.0,20.991426,67.83366
20210206T1300,6.4323363,89.0,20.60823,70.61548
20210206T1400,6.7523365,84.0,15.315873,66.44773
20210206T1500,7.0023365,82.0,21.99538,68.89516
20210206T1600,6.6123366,80.0,22.734219,79.04594
20210206T1700,5.9023366,80.0,22.657131,72.42874
20210206T1800,5.7123365,81.0,22.314192,79.77783
20210206T1900,5.2523365,84.0,22.702845,75.30268
20210206T2000,5.1523366,83.0,26.27753,80.537674
20210206T2100,4.5823364,82.0,21.26744,87.08916
20210206T2200,4.1923366,82.0,20.211363,94.08562
20210206T2300,3.9723368,82.0,20.192118,78.69006
20210207T0000,3.7123368,83.0,19.839235,78.48617
20210207T0100,3.5923367,81.0,22.253124,80.69006
20210207T0200,3.0223367,81.0,22.79684,74.42745
20210207T0300,2.3923366,82.0,21.96295,89.06081
20210207T0400,2.1323366,80.0,28.856194,93.576324
20210207T0500,2.1823368,79.0,23.584808,102.33909
20210207T0600,2.1623366,80.0,20.870687,104.99507
20210207T0700,1.8523366,82.0,22.89611,106.44038
20210207T0800,1.1423367,82.0,26.867676,107.949394
20210207T0900,0.6323367,81.0,23.491207,105.1011
20210207T1000,2.2523367,76.0,21.659918,105.42216
20210207T1100,3.8523366,73.0,22.553934,114.519646
20210207T1200,4.2123365,75.0,21.325253,111.80141
20210207T1300,3.7123368,80.0,18.792551,106.69924
20210207T1400,4.5823364,75.0,15.484185,54.46232
20210207T1500,4.4923363,77.0,17.057314,44.144897
20210207T1600,4.1623363,78.0,15.546833,47.81555
20210207T1700,4.0223365,78.0,10.97262,41.009094
20210207T1800,3.9123366,83.0,8.587338,56.976128
20210207T1900,3.8623366,88.0,11.879999,89.99999
20210207T2000,2.7823367,91.0,14.003029,72.03086
20210207T2100,1.3323367,92.0,18.25026,75.14138
20210207T2200,0.4323367,93.0,20.730501,69.67686
20210207T2300,0.4123367,92.0,21.897945,80.537674
20210208T0000,1.0323367,86.0,25.49908,103.055244
20210208T0100,-0.14766331,88.0,27.534704,101.30993
20210208T0200,-1.0976633,82.0,21.325253,21.801407
20210208T0300,-2.0476632,81.0,21.638964,44.32596
20210208T0400,-3.0476632,74.0,24.363249,55.840294
20210208T0500,-3.5776632,77.0,26.89419,62.062843
20210208T0600,-3.0876634,83.0,23.770906,91.7357
20210208T0700,-4.3276634,72.0,26.64,89.99999
20210208T0800,-4.1776633,73.0,24.48,89.99999
20210208T0900,-3.8476634,73.0,23.0653,92.68377
20210208T1000,-2.9776633,69.0,19.803272,91.04162
20210208T1100,-2.0076632,64.0,19.602652,82.61395
20210208T1200,-1.2876633,62.0,19.839235,78.48617
20210208T1300,-0.6976633,61.0,20.478907,79.87532
20210208T1400,-0.3176633,62.0,18.888851,82.33319
20210208T1500,-0.09766331,64.0,19.70815,80.537674
20210208T1600,-0.2576633,66.0,22.461807,83.5584
20210208T1700,-0.8976633,68.0,24.967499,84.2072
20210208T1800,-2.1376634,72.0,26.552288,77.47118
20210208T1900,-3.0776632,71.0,26.019806,75.57923
20210208T2000,-3.6376634,72.0,24.675106,66.8014
20210208T2100,-4.0476637,71.0,22.870626,61.821404
20210208T2200,-4.7976637,73.0,24.162947,56.546677
20210208T2300,-5.2776637,72.0,24.344624,51.604828
